trajectory_index,source_cell_index,source_time,source_cell_type,predicted_label,max_prob,time_used,primary_domain,secondary_domain,prob__EryP,prob__HSC,prob__MasP,prob__MkP,prob__MoP,prob__NeuP,target_group,target_genes,z_score,time_requested,cell_type_requested,cell_type_used,label_rule,selection_source
3231,3231,0.0,EryP,MkP,0.9999942775054927,3.0,1,2,6.083975497309931e-07,5.113427111411756e-06,1.7876376073357458e-11,0.9999942775054927,2.2766578569713928e-10,4.2430383735268767e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
1662,1662,0.0,EryP,MkP,0.9999938331120586,3.0,1,2,2.9974045268030194e-06,2.789213769996267e-06,4.9492626555700826e-11,0.9999938331120586,3.787685105261341e-07,1.451641482798993e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
7602,7602,0.0,EryP,MkP,0.999993413003898,3.0,1,2,2.466223701384617e-06,4.1190221547978495e-06,1.152843527120761e-12,0.999993413003898,1.4496994236778203e-09,2.9939356441625616e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
522,522,0.0,EryP,MkP,0.9999933026037716,3.0,1,2,5.038937874964097e-06,1.6348458658970145e-06,3.9279187031733946e-11,0.9999933026037716,2.0339971801763853e-08,3.233236430086878e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
504,504,0.0,EryP,MkP,0.9999929656676588,3.0,1,2,5.773882168455325e-06,1.2541604861878328e-06,1.3164839890264122e-10,0.9999929656676588,4.455565630525315e-09,1.7024726281554583e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
2283,2283,0.0,EryP,MkP,0.999992701803577,3.0,1,2,5.218642087950073e-06,1.988901330933542e-06,8.71869792113322e-13,0.999992701803577,9.014519494746173e-08,5.069371549325859e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3184,3184,0.0,EryP,MkP,0.999992697242602,3.0,1,2,4.818547802999199e-06,2.481066437667892e-06,8.114947395783537e-12,0.999992697242602,1.2479342135018195e-09,1.887108213278649e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
4793,4793,0.0,EryP,MkP,0.9999922811799952,3.0,1,2,2.635240921749511e-06,5.0789987332944765e-06,3.0669061256658125e-13,0.9999922811799952,4.099358617226501e-09,4.80684725457513e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6622,6622,0.0,EryP,MkP,0.9999921680399044,3.0,1,2,6.197286541010537e-06,1.6315896340740498e-06,1.0196027889043411e-10,0.9999921680399044,2.7245817065705634e-09,2.573785067687049e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
4845,4845,0.0,EryP,MkP,0.9999920648474984,3.0,1,2,1.3191291019898296e-06,6.6138211465733705e-06,3.162444894037527e-11,0.9999920648474984,1.3617539746526187e-09,8.088749849776039e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
