trajectory_index,source_cell_index,source_time,source_cell_type,predicted_label,classifier_predicted_label_z0,max_prob,target_group,target_genes,selection_source
0,4969,0.0,MasP,MkP,MkP,0.99769614773013,Mk_union,ITGA2B|GP1BA|PF4|PPBP,finalmkp2_draw_subset_search
1,5382,0.0,MasP,MasP,MasP,0.9969532952683458,Mk_union,ITGA2B|GP1BA|PF4|PPBP,finalmkp2_draw_subset_search
2,4414,0.0,MasP,MasP,MasP,0.9729680486178351,Mk_union,ITGA2B|GP1BA|PF4|PPBP,finalmkp2_draw_subset_search
3,8332,0.0,MkP,MkP,MkP,0.9984198213580607,Mk_union,ITGA2B|GP1BA|PF4|PPBP,finalmkp2_draw_subset_search
4,4973,0.0,MkP,MkP,MkP,0.9988746594751917,Mk_union,ITGA2B|GP1BA|PF4|PPBP,finalmkp2_draw_subset_search
5,30,0.0,MasP,MasP,MasP,0.9990363050434947,Mk_union,ITGA2B|GP1BA|PF4|PPBP,finalmkp2_draw_subset_search
6,6578,0.0,MasP,MkP,MkP,0.9510369792543598,Mk_union,ITGA2B|GP1BA|PF4|PPBP,finalmkp2_draw_subset_search
7,3654,0.0,MasP,MasP,MasP,0.9993712889171447,Mk_union,ITGA2B|GP1BA|PF4|PPBP,finalmkp2_draw_subset_search
